work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1966_10,act_public,2007,2,2,repealed:2,act_public_1966_10_en_2007-09-03
act_public_1966_102,act_public,1988,1,1,repealed:1,act_public_1966_102_en_1988-09-19
act_public_1966_106,act_public,1996,9,9,repealed:9,act_public_1966_106_en_1996-04-24
act_public_1966_25,act_public,2018,9,9,amended:6;repealed:1;substituted:2,act_public_1966_25_en_2018-09-08
act_public_1966_37,act_public,2018,1,1,repealed:1,act_public_1966_37_en_2018-11-12
act_public_1966_38,act_public,2017,868,868,__unclassified__:1;amended:52;inserted:8;repealed:803;replaced:4,act_public_1966_38_en_2017-03-01
act_public_1966_39,act_public,2007,3,3,repealed:3,act_public_1966_39_en_2007-09-20
act_public_1966_41,act_public,2014,3,3,__missing__:1;repealed:2,act_public_1966_41_en_2014-12-07
act_public_1966_44,act_public,2026,4,4,amended:1;inserted:1;repealed:1;replaced:1,act_public_1966_44_en_2026-02-21
act_public_1966_51,act_public,2025,103,103,__missing__:1;amended:30;editorial change:1;inserted:45;repealed:8;replaced:18,act_public_1966_51_en_2025-04-05
act_public_1966_79,act_public,2021,1,1,repealed:1,act_public_1966_79_en_2021-01-30
act_public_1966_97,act_public,2018,97,97,amended:77;brought into force:1;inserted:9;repealed:5;replaced:5,act_public_1966_97_en_2018-02-21
act_public_1967_104,act_public,2020,2,2,repealed:2,act_public_1967_104_en_2020-07-25
act_public_1967_126,act_public,2014,33,33,added:5;amended:12;inserted:4;repealed:1;replaced:1;substituted:10,act_public_1967_126_en_2014-06-17
act_public_1967_129,act_public,2023,36,36,amended:29;inserted:5;replaced:2,act_public_1967_129_en_2023-12-23
act_public_1967_142,act_public,1979,1,1,repealed:1,act_public_1967_142_en_1979-09-07
act_public_1967_145,act_public,1993,4,4,repealed:4,act_public_1967_145_en_1993-07-01
act_public_1967_148,act_public,1971,4,4,amended:2;expired:1;repealed:1,act_public_1967_148_en_1971-12-31
