amendments,statute_id,bucket,reason,detail,last_status
4,1992/1636,suspect,oracle_suspect,2022/1202 eff 2023-04-01 > cutoff 2022-12-20,
4,1992/211,suspect,oracle_suspect,2020/281 eff 2020-04-24 > cutoff 2020-04-23,
4,1992/370,suspect,oracle_suspect,2004/343 eff 2004-05-12 > cutoff 2004-05-06,
4,1992/481,suspect,oracle_suspect,2000/962 eff 2000-12-01 > cutoff 2000-11-17,
4,1992/71,suspect,oracle_suspect,2002/866 eff 2002-10-30 > cutoff 2002-10-23,
4,1992/772,suspect,oracle_suspect,1997/863 eff 1997-10-01 > cutoff 1997-09-05,
4,1993/1603,suspect,oracle_suspect,2003/1230 eff 2004-01-01 > cutoff 2003-12-18,
4,1993/1642,suspect,oracle_suspect,2002/762 eff 2002-09-01 > cutoff 2002-08-26,
4,1993/1708,suspect,oracle_suspect,1998/983 eff 1999-01-01 > cutoff 1998-12-10,
4,1993/176,suspect,oracle_suspect,2004/481 eff 2004-07-01 > cutoff 2004-06-10,
4,1993/35,suspect,oracle_suspect,2002/702 eff 2003-01-01 > cutoff 2002-08-09,
4,1993/902,suspect,oracle_suspect,1995/1101 eff 1995-09-06 > cutoff 1995-08-28,
4,1994/1057,core,,,OK
4,1994/1071,suspect,oracle_suspect,2021/1278 eff 2022-01-01 > cutoff 2021-12-22,
4,1994/1100,suspect,oracle_suspect,2009/1470 eff 2010-01-01 > cutoff 2009-12-22,
4,1994/1222,core,,,OK
4,1994/123,suspect,oracle_suspect,1999/694 eff 1999-12-01 > cutoff 1999-05-21,
4,1994/1299,suspect,oracle_suspect,2023/580 eff 2023-06-01 > cutoff 2023-03-23,
4,1994/1373,suspect,oracle_suspect,2000/624 eff 2001-01-01 > cutoff 2000-06-30,
4,1994/1384,suspect,oracle_suspect,2012/221 eff 2013-04-05 > cutoff 2012-05-10,
4,1994/1515,suspect,oracle_suspect,2007/431 eff 2007-05-01 > cutoff 2007-04-13,
4,1994/1543,suspect,oracle_suspect,2010/961 eff 2010-11-17 > cutoff 2010-11-11,
4,1994/1546,core,,,OK
4,1994/1554,suspect,oracle_suspect,2015/428 eff 2015-10-01 > cutoff 2015-04-10,
4,1994/181,suspect,oracle_suspect,1994/778 eff 1994-08-31 > cutoff 1994-08-25,
