statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/2021/1,asp,2021,1,140,156,140,0.8974,OK,
asp/2021/10,asp,2021,2,448,486,448,0.9218,OK,
asp/2021/11,asp,2021,1,18,18,18,1.0000,OK,
asp/2021/12,asp,2021,1,20,20,20,1.0000,OK,
asp/2021/13,asp,2021,1,3,3,3,1.0000,OK,
asp/2021/14,asp,2021,1,317,344,317,0.9215,OK,
asp/2021/15,asp,2021,4,1464,1654,1464,0.8851,OK,
asp/2021/16,asp,2021,1,367,33,25,0.0681,OK,
asp/2021/17,asp,2021,2,434,480,425,0.8854,OK,
asp/2021/18,asp,2021,1,51,52,51,0.9808,OK,
asp/2021/19,asp,2021,1,127,132,127,0.9621,OK,
asp/2021/2,asp,2021,1,28,29,28,0.9655,OK,
asp/2021/20,asp,2021,1,11,8,8,0.7273,OK,
asp/2021/3,asp,2021,1,292,328,292,0.8902,OK,
asp/2021/4,asp,2021,2,806,873,806,0.9233,OK,
asp/2021/5,asp,2021,1,97,105,96,0.9143,OK,
asp/2021/6,asp,2021,1,62,68,62,0.9118,OK,
asp/2021/7,asp,2021,1,8,9,8,0.8889,OK,
asp/2021/8,asp,2021,2,64,55,54,0.8438,OK,
asp/2021/9,asp,2021,1,1263,506,455,0.3603,OK,
asp/2022/1,asp,2022,1,51,52,51,0.9808,OK,
asp/2022/10,asp,2022,1,337,119,118,0.3501,OK,
asp/2022/2,asp,2022,1,53,54,53,0.9815,OK,
asp/2022/3,asp,2022,2,64,65,64,0.9846,OK,
asp/2022/4,asp,2022,1,17,0,0,0.0000,OK,
asp/2022/5,asp,2022,2,364,317,300,0.8242,OK,
asp/2022/6,asp,2022,1,34,42,34,0.8095,OK,
asp/2022/7,asp,2022,1,26,33,26,0.7879,OK,
asp/2022/8,asp,2022,4,989,1008,932,0.9246,OK,
asp/2022/9,asp,2022,3,770,387,364,0.4727,OK,
asp/2023/1,asp,2023,2,554,594,554,0.9327,OK,
asp/2023/2,asp,2023,3,64,55,54,0.8438,OK,
asp/2023/3,asp,2023,6,1400,1489,1400,0.9402,OK,
asp/2023/4,asp,2023,1,214,189,161,0.7523,OK,
asp/2023/5,asp,2023,2,330,320,305,0.9242,OK,
asp/2023/6,asp,2023,3,393,401,393,0.9800,OK,
asp/2024/1,asp,2024,2,755,803,755,0.9402,OK,
asp/2024/10,asp,2024,1,160,187,160,0.8556,OK,
asp/2024/11,asp,2024,3,641,685,641,0.9358,OK,
asp/2024/12,asp,2024,1,3,3,3,1.0000,OK,
asp/2024/13,asp,2024,2,283,269,258,0.9117,OK,
asp/2024/14,asp,2024,3,648,635,574,0.8858,OK,
asp/2024/15,asp,2024,1,130,170,130,0.7647,OK,
asp/2024/2,asp,2024,3,1148,244,220,0.1916,OK,
asp/2024/3,asp,2024,3,64,55,54,0.8438,OK,
asp/2024/4,asp,2024,2,614,146,131,0.2134,OK,
asp/2024/5,asp,2024,3,488,283,259,0.5307,OK,
asp/2024/6,asp,2024,1,90,109,90,0.8257,OK,
asp/2024/7,asp,2024,2,456,492,456,0.9268,OK,
asp/2024/8,asp,2024,4,772,835,772,0.9246,OK,
